,Artist,Born,Born In,Years Active,Founded In,Died
0,Jay Electronica,19 September 1976 (age 45),"New Orleans, Louisiana, United States",,,
0,Jazmine Sullivan,9 April 1987 (age 34),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,The Smashing Pumpkins,,,1988 – present (33 years),"Chicago, Cook County, Illinois, United States",
0,Ted Hawkins,28 October 1936,"Mississippi, United States",,,1 January 1995 (aged 58)
0,Gal Costa,26 September 1945 (age 75),"Salvador, Bahia, Brazil",,,
0,Hudson Mohawke,11 February 1986 (age 35),"Glasgow, Scotland, United Kingdom",,,
0,Goat Girl,,,2016 – present (5 years),"London, England, United Kingdom",
0,Charley Crockett,1984 (age 37),"San Benito, Cameron County, Texas, United States",,,
0,Jockstrap,,,2017 – present (4 years),"London, England, United Kingdom",
0,Jacob Collier,2 August 1994 (age 27),"London, England, United Kingdom",,,
0,Nick Leng,,"Johannesburg, Gauteng, South Africa",,,
0,24kGoldn,13 November 2000 (age 20),"San Francisco, California, United States",,,
0,Sabrina Carpenter,11 May 1999 (age 22),"Pennsylvania, United States",,,
0,Wyclef Jean,17 October 1969 (age 51),"Croix-des-Bouquets, Ouest, Haiti",,,
0,Mort Garson,20 July 1924,"Saint John, Saint John County, New Brunswick, Canada",,,4 January 2008 (aged 83)
0,Connan Mockasin,,"Te Awanga, Hawke's Bay, North Island, New Zealand",,,
0,Bibio,4 December 1978 (age 42),"West Midlands, England, United Kingdom",,,
0,Burial,August 1979 (age 42),"London, England, United Kingdom",,,
0,The Scotts,,,1992 – present (29 years),"Lidköping Municipality, Västra Götaland, Sweden",
0,Marshmello,19 May 1992 (age 29),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,Pinegrove,,,,"Montclair, Essex County, New Jersey, United States",
0,Terrace Martin,28 December 1978 (age 42),"Los Angeles, Los Angeles County, California, United States",,,
0,beabadoobee,3 June 2000 (age 21),"London, England, United Kingdom",,,
0,Whethan,25 May 1999 (age 22),"Chicago, Cook County, Illinois, United States",,,
0,Justin Vernon,30 April 1981 (age 40),"Eau Claire, Chippewa County, Wisconsin, United States",,,
0,Lata Mangeshkar,28 September 1929 (age 91),"Indore, Madhya Pradesh, India",,,
0,Louis Armstrong,4 August 1901,"New Orleans, Louisiana, United States",,,6 July 1971 (aged 69)
0,DaBaby,22 December 1991 (age 29),"Cleveland, Cuyahoga County, Ohio, United States",,,
0,Silversun Pickups,,,2002 – present (19 years),"Los Angeles, Los Angeles County, California, United States",
0,Thelonious Monk,10 October 1917,"Rocky Mount, Edgecombe County, North Carolina, United States",,,17 February 1982 (aged 64)
0,Billie Holiday,7 April 1915,"Philadelphia, Philadelphia County, Pennsylvania, United States",,,17 July 1959 (aged 44)
0,Chet Baker,23 December 1929,"Yale, Payne County, Oklahoma, United States",,,13 May 1988 (aged 58)
0,Fats Waller,21 May 1904,"New York, New York, United States",,,15 December 1943 (aged 39)
0,Blossom Dearie,28 April 1924,"East Durham, Durham, Greene County, New York, United States",,,7 February 2009 (aged 84)
0,Al Bowlly,7 January 1898,"Maputo, Mozambique",,,17 April 1941 (aged 43)
0,Art Tatum,13 October 1909,"Toledo, Lucas County, Ohio, United States",,,5 November 1956 (aged 47)
0,Erroll Garner,15 June 1921,"Pittsburgh, Allegheny County, Pennsylvania, United States",,,7 January 1977 (aged 55)
0,Miles Davis Quintet,,,1955 – 1968 (13 years),,
0,Hoagy Carmichael,22 November 1899,"Bloomington, Monroe County, Indiana, United States",,,27 December 1981 (aged 82)
0,Benny Goodman,30 May 1909,"Chicago, Cook County, Illinois, United States",,,13 June 1986 (aged 77)
0,The Mills Brothers,,,1928 – 1982 (54 years),"Piqua, Miami County, Ohio, United States",
0,Wings,,,2014 – present (7 years),,
0,Lo Village,,,2015 – present (6 years),"Maryland, United States",
0,Biga Ranx,27 September 1988 (age 32),"Tours, Indre-et-Loire, Centre-Val de Loire, France",,,
0,Dirty Projectors,,,2002 – present (19 years),"Brooklyn, New York, New York, United States",
0,Panda Bear,17 July 1978 (age 43),"Baltimore, Maryland, United States",,,
0,Jack Stauber,6 April 1996 (age 25),"Pennsylvania, United States",,,
0,Siames,,,2013 – present (8 years),"Buenos Aires, Argentina",
0,Wilbur Soot,14 September 1996 (age 25),"Suffolk, England, United Kingdom",,,
0,Lena Raine,29 February 1984 (age 37),,,,
0,Kevin Macleod,28 September 1972 (age 48),"Green Bay, Brown County, Wisconsin, United States",,,
0,Erang,2012 (age 9),,,,
0,"Peter, Paul and Mary",,,1961 – 2009 (48 years),,
0,Danzig,,,1987 – present (34 years),"Lodi, Bergen County, New Jersey, United States",
0,John Travolta,18 February 1954 (age 67),"Englewood, Bergen County, New Jersey, United States",,,
0,Phosphorescent,,,2001 – present (20 years),"Athens, Clarke County, Georgia, United States",
0,Danny Brown,16 March 1981 (age 40),"Detroit, Wayne County, Michigan, United States",,,
0,Grimes,17 March 1988 (age 33),"Vancouver, Metro Vancouver, British Columbia, Canada",,,
0,Twista,27 November 1973 (age 47),"Chicago, Cook County, Illinois, United States",,,
0,Dropkick Murphys,,,1996 – present (25 years),"Quincy, Norfolk County, Massachusetts, United States",
0,On An On,,,2012 – present (9 years),"Minneapolis, Hennepin County, Minnesota, United States",
0,Joy Division,,,1978 – 1980 (2 years),"Salford, Salford, Greater Manchester, England, United Kingdom",
0,TV on the Radio,,,2001 – present (20 years),"Brooklyn, New York, New York, United States",
0,Broken Social Scene,,,1999 – present (22 years),"Toronto, Ontario, Canada",
0,The Last Shadow Puppets,,,2007 – present (14 years),"Sheffield, South Yorkshire, England, United Kingdom",
0,Fax Gang,,,2019 – present (2 years),"Manila, National Capital Region, Philippines",
0,Zara Larsson,16 December 1997 (age 23),"Solna municipality, Stockholms län, Sweden",,,
0,Irma Thomas,18 February 1941 (age 80),"Ponchatoula, Tangipahoa Parish, Louisiana, United States",,,
0,Lucille Bogan,1 April 1897,"Amory, Monroe County, Mississippi, United States",,,10 August 1948 (aged 51)
0,Djo,24 April 1992 (age 29),"Newburyport, Essex County, Massachusetts, United States",,,
0,Cro,31 January 1990 (age 31),"Mutlangen, Baden-Württemberg, Germany",,,
0,No Vacation,,,2015 – present (6 years),"San Francisco, California, United States",
0,Anaïs Mitchell,26 March 1981 (age 40),"Montpelier, Washington County, Vermont, United States",,,
0,The Cinematic Orchestra,,,1997 – present (24 years),"London, England, United Kingdom",
0,Rhye,,,2010 – present (11 years),"Toronto, Ontario, Canada",
0,Johnny Flynn,14 March 1983 (age 38),"Johannesburg, Gauteng, South Africa",,,
0,Octavian,22 January 1996 (age 25),"London, England, United Kingdom",,,
0,The Mamas & the Papas,,,1965 – 1972 (7 years),"New York, New York, United States",
0,Foxygen,,,2005 – present (16 years),"Westlake Village, Los Angeles County, California, United States",
0,Shakey Graves,6 June 1987 (age 34),"Austin, Travis County, Texas, United States",,,
0,Omar Linx,,"Toronto, Ontario, Canada",,,
0,Chet Faker,23 June 1988 (age 33),"Melbourne, Victoria, Australia",,,
0,Active Child,28 May 1983 (age 38),"Elizabeth, Union County, New Jersey, United States",,,
0,Dehd,,,2015 – present (6 years),"Chicago, Cook County, Illinois, United States",
0,Daniel Johnston,22 January 1961,"Sacramento, Sacramento County, California, United States",,,11 September 2019 (aged 58)
0,Deerhunter,,,2001 – present (20 years),"Atlanta, Fulton County, Georgia, United States",
0,dandelion hands,28 May 1993 (age 28),,,,
0,John Frusciante,5 March 1970 (age 51),"Queens, New York, New York, United States",,,
0,Born Ruffians,,,2004 – present (17 years),"Midland, Simcoe County, Ontario, Canada",
0,Les Big Byrd,,,2011 – present (10 years),"Stockholm, Stockholm municipality, Stockholms län, Sweden",
0,Oketo,,,2013 – present (7 years),"Lincoln, Lancaster County, Nebraska, United States",
0,Trust Fund,,,2012 – present (9 years),,
0,Hundred Waters,,,2011 – present (10 years),"Gainesville, Alachua County, Florida, United States",
0,Scott Bradlee's Postmodern Jukebox,,,2012 – present (9 years),"New York, New York, United States",
0,King Crimson,,,1969 – present (52 years),"London, England, United Kingdom",
0,Luke Howard,3 June 1978 (age 43),"Melbourne, Victoria, Australia",,,
0,Pearl Jam,,,1990 – present (31 years),"Seattle, King County, Washington, United States",
0,Grizfolk,,,2012 – present (9 years),"Los Angeles, Los Angeles County, California, United States",
0,Horse Feathers,,,2004 – present (17 years),"Portland, Multnomah County, Oregon, United States",
0,KAMAUU,,"Washington, D.C., United States",,,
0,Spooky Black,20 February 1998 (age 23),"Baltimore, Maryland, United States",,,
0,Simon & Garfunkel,,,1963 – present (58 years),"Kew Gardens Hills, Queens, New York, New York, United States",
0,Michael Stipe,4 January 1960 (age 61),"Decatur, DeKalb County, Georgia, United States",,,
0,Volcano Choir,,,2005 – present (16 years),"Wisconsin, United States",
0,Busdriver,12 February 1978 (age 43),"Los Angeles, Los Angeles County, California, United States",,,
0,Marian Hill,,,2013 – present (8 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,The Minds of 99,,,2012 – present (9 years),"Copenhagen, Capital Region of Denmark, Denmark",
0,Sasha Sloan,11 March 1995 (age 26),"Boston, Suffolk County, Massachusetts, United States",,,
0,George Harrison,24 February 1943,"Liverpool, Merseyside, England, United Kingdom",,,29 November 2001 (aged 58)
0,Electric Light Orchestra,,,1970 – present (51 years),"Birmingham, West Midlands, England, United Kingdom",
0,Skeeter Davis,30 December 1931,"Dry Ridge, Grant County, Kentucky, United States",,,19 September 2004 (aged 72)
0,Amy Annelle,7 April 1971 (age 50),"Chicago, Cook County, Illinois, United States",,,
0,Blind Pilot,,,2005 – present (16 years),,
0,The Lennings,,,,"Austin, Travis County, Texas, United States",
0,Zack Fox,6 December 1990 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,CJ,1992 (age 29),"Staten Island, New York, New York, United States",,,
0,Bobby Raps,22 December 1992 (age 28),"Saint Paul, Ramsey County, Minnesota, United States",,,
0,Yung Lean,18 July 1996 (age 25),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,Cameron Avery,23 April 1988 (age 33),"Fremantle, Western Australia, Australia",,,
0,Sir Sly,,,2012 – present (9 years),,
0,The Doors,,,1965 – 1972 (7 years),"Los Angeles, Los Angeles County, California, United States",
0,Slow Hollows,,,2013 – present (8 years),"Los Angeles, Los Angeles County, California, United States",
0,G-Eazy,24 May 1989 (age 32),"Oakland, Alameda County, California, United States",,,
0,Alexandra Savior,14 June 1995 (age 26),,,,
0,Cloud Control,,,,"City of Blue Mountains, New South Wales, Australia",
0,Sofie,3 February 1990 (age 31),,,,
0,Dan Deacon,28 August 1981 (age 40),"West Babylon, Babylon, Suffolk County, New York, United States",,,
0,Everything Is Recorded,18 March 1971 (age 50),"Dollis Hill, Brent, London, England, United Kingdom",,,
0,Kurt Vile,3 January 1980 (age 41),"Lansdowne, Delaware County, Pennsylvania, United States",,,
0,Alexander 23,23 January 1995 (age 26),"Chicago, Cook County, Illinois, United States",,,
0,Chelsea Cutler,12 February 1997 (age 24),"Westport, Fairfield County, Connecticut, United States",,,
0,Ali Gatie,31 May 1997 (age 24),,,,
0,Gracie Abrams,7 September 1999 (age 22),"Los Angeles, Los Angeles County, California, United States",,,
0,James Morrison,13 August 1984 (age 37),"Rugby, Warwickshire, England, United Kingdom",,,
0,Clara Luciani,10 July 1992 (age 29),"Martigues, Bouches-du-Rhône, Provence-Alpes-Côte-d'Azur, France",,,
0,Mathieu Boogaerts,30 November 1970 (age 50),"Fontenay-sous-Bois, Val-de-Marne, Île-de-France, France",,,
0,Run the Jewels,,,2013 – present (8 years),,
0,Cuco,26 June 1998 (age 23),"Inglewood, Los Angeles County, California, United States",,,
0,The Wallflowers,,,1989 – present (32 years),"Los Angeles, Los Angeles County, California, United States",
0,Golden Earring,,,1961 – 2021 (59 years),"The Hague, Zuid-Holland, Netherlands",
0,John Legend,28 December 1978 (age 42),"Springfield, Clark County, Ohio, United States",,,
0,Patti Smith,30 December 1946 (age 74),"Chicago, Cook County, Illinois, United States",,,
0,Fitz and the Tantrums,,,2008 – present (13 years),"Los Angeles, Los Angeles County, California, United States",
0,Stella Donnelly,10 April 1992 (age 29),"Swansea, Wales, United Kingdom",,,
0,Led Zeppelin,,,1968 – 1980 (12 years),"London, England, United Kingdom",
0,Johnny Thunders,15 July 1952,"East Elmhurst, Queens, New York, New York, United States",,,23 April 1991 (aged 38)
0,Jefferson Airplane,,,1965 – 1973 (8 years),"San Francisco, California, United States",
0,Cliff Richard,14 October 1940 (age 80),"Uttar Pradesh, India",,,
0,The Animals,,,1963 – 1983 (20 years),"Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",
0,Van Morrison,31 August 1945 (age 76),"Belfast, County Antrim, Northern Ireland, United Kingdom",,,
0,The Zombies,,,1961 – present (60 years),"City of St Albans, Hertfordshire, England, United Kingdom",
0,George Martin,3 January 1926,"Highbury, Islington, London, England, United Kingdom",,,8 March 2016 (aged 90)
0,Melii,30 December 1996 (age 24),"New York, New York, United States",,,
0,Spiritualized,,,1990 – present (31 years),"Rugby, Warwickshire, England, United Kingdom",
0,Hugh Masekela,4 April 1939,"Witbank, Mpumalanga, South Africa",,,23 January 2018 (aged 78)
0,Foreign Air,,,2015 – present (6 years),,
0,Jessy Lanza,1985 (age 36),"Hamilton, Ontario, Canada",,,
0,Caroline Rose,19 October 1989 (age 31),"Long Island, New York, United States",,,
0,Ringo Deathstarr,,,2005 – present (16 years),"Beaumont, Jefferson County, Texas, United States",
0,Cut Copy,,,2001 – present (20 years),"Melbourne, Victoria, Australia",
0,Rina Sawayama,16 August 1990 (age 31),"Niigata, Niigata, Japan",,,
0,Purity Ring,,,2010 – present (11 years),"Edmonton, Alberta, Canada",
0,Sega Bodega,16 February 1992 (age 29),"Galway, County Galway, Connaught, Ireland",,,
0,Hamilton Leithauser,15 April 1978 (age 43),"Washington, D.C., United States",,,
0,Amtrac,19 May 1987 (age 34),"Morehead, Rowan County, Kentucky, United States",,,
0,Yaeji,6 August 1993 (age 28),"Flushing, Queens, New York, New York, United States",,,
0,Phum Viphurit,16 August 1995 (age 26),"Bangkok, Thailand",,,
0,Future Islands,,,2006 – present (15 years),"Greenville, Pitt County, North Carolina, United States",
0,John Maus,23 February 1980 (age 41),"Austin, Mower County, Minnesota, United States",,,
0,Sun Kil Moon,,,2002 – present (19 years),"San Francisco, California, United States",
0,Mansionair,,,,"Sydney, New South Wales, Australia",
0,Bob Marley & The Wailers,,,1970 – 1981 (10 years),"Kingston, Jamaica",
0,Nina Simone,21 February 1933,"Tryon, Polk County, North Carolina, United States",,,21 April 2003 (aged 70)
0,Bunny Wailer,10 April 1947,"Kingston, Jamaica",,,2 March 2021 (aged 73)
0,Israel Vibration,,,1977 – present (44 years),,
0,Burning Spear,1 March 1945 (age 76),"Saint Ann's Bay, Saint Ann, Jamaica",,,
0,Juicy J,5 April 1975 (age 46),"Memphis, Shelby County, Tennessee, United States",,,
0,The White Stripes,,,1997 – 2011 (13 years),"Detroit, Wayne County, Michigan, United States",
0,All Them Witches,,,2012 – present (9 years),"Nashville, Davidson County, Tennessee, United States",
0,Kishi Bashi,4 November 1975 (age 45),"Seattle, King County, Washington, United States",,,
0,Tyla Yaweh,23 May 1995 (age 26),"Altamonte Springs, Seminole County, Florida, United States",,,
0,Django Django,,,2009 – present (12 years),"London, England, United Kingdom",
0,"Crosby, Stills & Nash",,,1968 – 2016 (48 years),"Los Angeles, Los Angeles County, California, United States",
0,The Tams,,,1960 – present (61 years),"Atlanta, Fulton County, Georgia, United States",
0,The Turtles,,,1965 – 1971 (6 years),"Los Angeles, Los Angeles County, California, United States",
0,Langhorne Slim,20 August 1980 (age 41),"Langhorne, Bucks County, Pennsylvania, United States",,,
0,Tim Heidecker,3 February 1976 (age 45),,,,
0,Soko,26 October 1985 (age 35),"Bordeaux, Gironde, Nouvelle-Aquitaine, France",,,
0,Little Richard,5 December 1932,"Macon, Bibb County, Georgia, United States",,,9 May 2020 (aged 87)
0,Shawn Mendes,8 August 1998 (age 23),"Toronto, Ontario, Canada",,,
0,scallops hotel,3 February 1992 (age 29),"Chicago, Cook County, Illinois, United States",,,
